rep_population,regime,type,sex,regimetype,fly,size_mm
RP1,cCwt,0X,f,eCwtf,14,0.968253968
RP1,cCwt,0X,f,eCwtf,15,0.984126984
RP1,cCwt,0X,f,eCwtf,16,0.984126984
RP1,cCwt,0X,f,eCwtf,17,1
RP1,cCwt,0X,f,eCwtf,18,0.984126984
RP1,cCwt,0X,f,eCwtf,19,0.984126984
RP1,cCwt,0X,f,eCwtf,20,1
RP1,cCwt,0X,f,eCwtf,21,1
RP1,cCwt,0X,f,eCwtf,22,1.015873016
RP1,cCwt,0X,f,eCwtf,23,0.984126984
RP1,cCwt,0X,f,eCwtf,24,0.984126984
RP1,cCwt,0X,f,eCwtf,25,0.984126984
RP1,cCwt,0X,f,eCwtf,26,1
RP1,cCwt,0X,f,eCwtf,27,1
RP1,cCwt,0X,f,eCwtf,28,0.984126984
RP1,cCwt,0X,f,eCwtf,29,1
RP1,cCwt,0X,f,eCwtf,30,0.968253968
RP1,cCwt,0X,f,eCwtf,31,0.984126984
RP1,cCwt,0X,f,eCwtf,32,0.984126984
RP1,cCwt,0X,m,hCwtm,1,0.857142857
RP1,cCwt,0X,m,hCwtm,2,0.857142857
RP1,cCwt,0X,m,hCwtm,3,0.825396825
RP1,cCwt,0X,m,hCwtm,4,0.857142857
RP1,cCwt,0X,m,hCwtm,5,0.873015873
RP1,cCwt,0X,m,hCwtm,6,0.857142857
RP1,cCwt,0X,m,hCwtm,7,0.841269841
RP1,cCwt,0X,m,hCwtm,8,0.857142857
RP1,cCwt,0X,m,hCwtm,9,0.841269841
RP1,cCwt,0X,m,hCwtm,10,0.857142857
RP1,cCwt,0X,m,hCwtm,11,0.857142857
RP1,cCwt,0X,m,hCwtm,12,0.857142857
RP1,cCwt,0X,m,hCwtm,13,0.841269841
RP1,cCwt,0X,m,hCwtm,14,0.793650794
RP1,cCwt,0X,m,hCwtm,15,0.857142857
RP1,cCwt,0X,m,hCwtm,16,0.841269841
RP1,cCwt,0X,m,hCwtm,17,0.841269841
RP1,cCwt,0X,m,hCwtm,18,0.841269841
RP1,cCwt,0X,m,hCwtm,19,0.841269841
RP1,cCwt,0X,m,hCwtm,20,0.841269841
RP1,cCwt,0X,m,hCwtm,21,0.841269841
RP1,cCwt,0X,m,hCwtm,22,0.841269841
RP1,cCwt,0X,m,hCwtm,23,0.841269841
RP1,cCwt,0X,m,hCwtm,24,0.841269841
RP1,cCwt,0X,m,hCwtm,25,0.857142857
RP1,cCwt,0X,m,hCwtm,26,0.857142857
RP1,cCwt,0X,m,hCwtm,27,0.841269841
RP1,cCwt,0X,m,hCwtm,28,0.841269841
RP1,cCwt,0X,m,hCwtm,29,0.825396825
RP1,cCwt,0X,m,hCwtm,30,0.825396825
RP1,cCwt,0X,m,hCwtm,31,0.841269841
RP1,cCwt,0X,m,hCwtm,32,0.841269841
RP1,cCwt,0X,m,hCwtm,33,0.825396825
RP1,cCwt,0X,m,hCwtm,34,0.841269841
RP1,cCwt,0X,m,hCwtm,35,0.841269841
RP1,cCwt,0X,m,hCwtm,36,0.857142857
RP1,cCwt,0X,m,hCwtm,37,0.793650794
RP1,cCwt,0X,m,hCwtm,38,0.841269841
RP1,cCwt,0X,m,hCwtm,39,0.841269841
RP2,aFLX,2X,f,aFLX2X,1,1.031746032
RP2,aFLX,2X,f,aFLX2X,2,1.031746032
RP2,aFLX,2X,f,aFLX2X,3,1.031746032
RP2,aFLX,2X,f,aFLX2X,4,1.031746032
RP2,aFLX,2X,f,aFLX2X,5,1.031746032
RP2,aFLX,2X,f,aFLX2X,6,1.063492063
RP2,aFLX,2X,f,aFLX2X,7,1.031746032
RP2,aFLX,2X,f,aFLX2X,8,1.031746032
RP2,aFLX,2X,f,aFLX2X,9,0.968253968
RP2,aFLX,2X,f,aFLX2X,10,1.063492063
RP2,aFLX,2X,f,aFLX2X,11,1.031746032
RP2,aFLX,2X,f,aFLX2X,12,1.031746032
RP2,aFLX,2X,f,aFLX2X,13,1.031746032
RP2,aFLX,2X,f,aFLX2X,14,1.031746032
RP2,aFLX,2X,f,aFLX2X,15,1.031746032
RP2,aFLX,2X,f,aFLX2X,16,1.031746032
RP2,aFLX,2X,f,aFLX2X,17,1.031746032
RP2,aFLX,2X,f,aFLX2X,18,1.031746032
RP2,aFLX,2X,f,aFLX2X,19,1.031746032
RP2,aFLX,2X,f,aFLX2X,20,1.031746032
RP2,aFLX,2X,f,aFLX2X,21,1.031746032
RP2,aFLX,2X,f,aFLX2X,22,1.031746032
RP2,aFLX,2X,f,aFLX2X,23,1.031746032
