rep_population,regime,type,regimetype,sex,fly,size_mm
RP2,aFLX,1X,bFLX1X,f,8,0.952380952
RP2,aFLX,1X,bFLX1X,f,9,0.936507937
RP2,aFLX,1X,bFLX1X,f,10,0.936507937
RP2,aFLX,1X,bFLX1X,f,11,0.952380952
RP2,aFLX,1X,bFLX1X,f,12,0.968253968
RP2,aFLX,1X,bFLX1X,f,13,0.968253968
RP2,aFLX,1X,bFLX1X,f,14,0.952380952
RP2,aFLX,1X,bFLX1X,f,15,0.920634921
RP2,aFLX,1X,bFLX1X,f,16,0.952380952
RP2,aFLX,1X,bFLX1X,f,17,0.968253968
RP2,aFLX,1X,bFLX1X,f,18,0.952380952
RP2,aFLX,1X,bFLX1X,f,19,0.952380952
RP2,aFLX,1X,bFLX1X,f,20,NA
RP2,aFLX,1X,fFLXm,m,1,0.777777778
RP2,aFLX,1X,fFLXm,m,2,0.825396825
RP2,aFLX,1X,fFLXm,m,3,0.825396825
RP2,aFLX,1X,fFLXm,m,4,0.793650794
RP2,aFLX,1X,fFLXm,m,5,0.793650794
RP2,aFLX,1X,fFLXm,m,6,0.80952381
RP2,aFLX,1X,fFLXm,m,7,0.793650794
RP2,aFLX,1X,fFLXm,m,8,0.793650794
RP2,aFLX,1X,fFLXm,m,9,0.825396825
RP2,aFLX,1X,fFLXm,m,10,0.793650794
RP2,aFLX,1X,fFLXm,m,11,0.793650794
RP2,aFLX,1X,fFLXm,m,12,0.825396825
RP2,aFLX,1X,fFLXm,m,13,0.793650794
RP2,aFLX,1X,fFLXm,m,14,0.80952381
RP2,aFLX,1X,fFLXm,m,15,0.793650794
RP2,aFLX,1X,fFLXm,m,16,0.825396825
RP2,aFLX,1X,fFLXm,m,17,0.841269841
RP2,aFLX,1X,fFLXm,m,18,0.793650794
RP2,aFLX,1X,fFLXm,m,19,0.793650794
RP2,aFLX,1X,fFLXm,m,20,0.825396825
RP2,bCFM,2X,cCFM2X,f,1,0.952380952
RP2,bCFM,2X,cCFM2X,f,2,0.920634921
RP2,bCFM,2X,cCFM2X,f,3,0.952380952
RP2,bCFM,2X,cCFM2X,f,4,0.952380952
RP2,bCFM,2X,cCFM2X,f,5,0.968253968
RP2,bCFM,2X,cCFM2X,f,6,0.920634921
RP2,bCFM,2X,cCFM2X,f,7,0.904761905
RP2,bCFM,2X,cCFM2X,f,8,0.952380952
RP2,bCFM,2X,cCFM2X,f,9,0.952380952
RP2,bCFM,2X,cCFM2X,f,10,0.952380952
RP2,bCFM,2X,cCFM2X,f,11,0.952380952
RP2,bCFM,2X,cCFM2X,f,12,0.904761905
RP2,bCFM,2X,cCFM2X,f,13,0.888888889
RP2,bCFM,2X,cCFM2X,f,14,0.952380952
RP2,bCFM,2X,cCFM2X,f,15,0.968253968
RP2,bCFM,2X,cCFM2X,f,16,0.952380952
RP2,bCFM,2X,cCFM2X,f,17,0.952380952
RP2,bCFM,2X,cCFM2X,f,18,0.920634921
RP2,bCFM,2X,cCFM2X,f,19,0.873015873
RP2,bCFM,2X,cCFM2X,f,20,0.952380952
RP2,bCFM,1X,dCFM1X,f,1,0.952380952
RP2,bCFM,1X,dCFM1X,f,2,0.952380952
RP2,bCFM,1X,dCFM1X,f,3,0.952380952
RP2,bCFM,1X,dCFM1X,f,4,0.968253968
RP2,bCFM,1X,dCFM1X,f,5,0.936507937
RP2,bCFM,1X,dCFM1X,f,6,0.952380952
RP2,bCFM,1X,dCFM1X,f,7,0.952380952
RP2,bCFM,1X,dCFM1X,f,8,0.952380952
RP2,bCFM,1X,dCFM1X,f,9,0.952380952
RP2,bCFM,1X,dCFM1X,f,10,0.968253968
RP2,bCFM,1X,dCFM1X,f,11,0.952380952
RP2,bCFM,1X,dCFM1X,f,12,0.952380952
RP2,bCFM,1X,dCFM1X,f,13,0.920634921
RP2,bCFM,1X,dCFM1X,f,14,0.920634921
RP2,bCFM,1X,dCFM1X,f,15,0.952380952
RP2,bCFM,1X,dCFM1X,f,16,0.952380952
RP2,bCFM,1X,dCFM1X,f,17,0.952380952
RP2,bCFM,1X,dCFM1X,f,18,0.952380952
RP2,bCFM,1X,dCFM1X,f,19,0.968253968
RP2,bCFM,1X,dCFM1X,f,20,0.952380952
RP2,bCFM,1X,gCFMm,m,1,0.825396825
RP2,bCFM,1X,gCFMm,m,2,0.793650794
RP2,bCFM,1X,gCFMm,m,3,0.793650794
RP2,bCFM,1X,gCFMm,m,4,0.793650794
RP2,bCFM,1X,gCFMm,m,5,0.80952381
RP2,bCFM,1X,gCFMm,m,6,0.793650794
RP2,bCFM,1X,gCFMm,m,7,0.825396825
RP2,bCFM,1X,gCFMm,m,8,0.793650794
RP2,bCFM,1X,gCFMm,m,9,0.825396825
RP2,bCFM,1X,gCFMm,m,10,0.80952381
RP2,bCFM,1X,gCFMm,m,11,0.857142857
RP2,bCFM,1X,gCFMm,m,12,0.793650794
RP2,bCFM,1X,gCFMm,m,13,0.793650794
RP2,bCFM,1X,gCFMm,m,14,0.793650794
RP2,bCFM,1X,gCFMm,m,15,0.793650794
RP2,bCFM,1X,gCFMm,m,16,0.841269841
RP2,bCFM,1X,gCFMm,m,17,0.825396825
RP2,bCFM,1X,gCFMm,m,18,0.793650794
RP2,bCFM,1X,gCFMm,m,19,0.80952381
RP2,bCFM,1X,gCFMm,m,20,0.80952381
RP2,cCwt,0X,eCwtf,f,1,0.920634921
RP2,cCwt,0X,eCwtf,f,2,0.904761905
RP2,cCwt,0X,eCwtf,f,3,0.841269841
RP2,cCwt,0X,eCwtf,f,4,0.873015873
RP2,cCwt,0X,eCwtf,f,5,0.984126984
RP2,cCwt,0X,eCwtf,f,6,0.920634921
RP2,cCwt,0X,eCwtf,f,7,0.952380952
RP2,cCwt,0X,eCwtf,f,8,0.936507937
RP2,cCwt,0X,eCwtf,f,9,0.888888889
RP2,cCwt,0X,eCwtf,f,10,0.952380952
RP2,cCwt,0X,eCwtf,f,11,0.857142857
RP2,cCwt,0X,eCwtf,f,12,0.873015873
RP2,cCwt,0X,eCwtf,f,13,0.857142857
RP2,cCwt,0X,eCwtf,f,14,0.920634921
RP2,cCwt,0X,eCwtf,f,15,0.904761905
RP2,cCwt,0X,eCwtf,f,16,0.936507937
RP2,cCwt,0X,eCwtf,f,17,0.841269841
RP2,cCwt,0X,eCwtf,f,18,0.793650794
RP2,cCwt,0X,eCwtf,f,19,0.920634921
RP2,cCwt,0X,eCwtf,f,20,0.984126984
RP2,cCwt,0X,hCwtm,m,1,0.793650794
RP2,cCwt,0X,hCwtm,m,2,0.793650794
RP2,cCwt,0X,hCwtm,m,3,0.793650794
RP2,cCwt,0X,hCwtm,m,4,0.793650794
RP2,cCwt,0X,hCwtm,m,5,0.777777778
RP2,cCwt,0X,hCwtm,m,6,0.80952381
RP2,cCwt,0X,hCwtm,m,7,0.777777778
RP2,cCwt,0X,hCwtm,m,8,0.793650794
RP2,cCwt,0X,hCwtm,m,9,0.793650794
RP2,cCwt,0X,hCwtm,m,10,0.777777778
RP2,cCwt,0X,hCwtm,m,11,0.793650794
RP2,cCwt,0X,hCwtm,m,12,0.761904762
